title,description
"FAKE NEWS ATRAPALHA","UMA FAKE NEWS TE PEGOU DE SURPRESA. PERCA 1 RODADA DESMENTINDO NAS REDES SOCIAIS!"
"PROBLEMAS COM A ASSESSORIA","SUA ASSESSORIA MARCOU UMA REUNIÃO INÚTIL. PERCA 1 RODADA RESOLVENDO O MAL-ENTENDIDO!"
"HACKERS ATACARAM!","SUA CONTA FOI INVADIDA POR HACKERS. PERCA 1 RODADA TENTANDO RECUPERAR O CONTROLE!"
"PROCESSO DE CASSAÇÃO","VOCÊ FOI ALVO DE UM PROCESSO DE CASSAÇÃO. FIQUE 2 RODADAS PARADO SE EXPLICANDO NA COMISSÃO!"
"XANDÃO TE BLOQUEOU","VOCÊ FOI BLOQUEADO PELO XANDÃO. FIQUE 2 RODADAS PARADO ENQUANTO A SITUAÇÃO SE DESENROLA!"
"HOSPITAL NO MEIO DA CAMPANHA","UMA INDIGESTÃO TE LEVOU PARA O HOSPITAL. PERCA 2 RODADAS EM RECUPERAÇÃO!"
"XANDÃO TE CHAMOU PRA PERTO","O XANDÃO TE SOLICITOU PARA UMA AUDIÊNCIA. MOVA-SE PARA UMA CASA ADJACENTE A ELE!"
"AMEAÇA DE PRISÃO","VOCÊ SENTIU UM CHEIRO DE PRISÃO NO AR. CORRA PARA PERTO DO XANDÃO PARA SE JUSTIFICAR!"
"XANDÃO ESTÁ TE OBSERVANDO","XANDÃO DECIDIU TE MONITORAR DE PERTO. TRAGA-O PARA UMA CASA ADJACENTE A VOCÊ!"
"AUDITORIA SURPRESA","VOCÊ ESTÁ SENDO AUDITADO. O XANDÃO SE APROXIMA PARA ANALISAR SUA SITUAÇÃO. MOVA-O PARA PERTO!"
"BARRADO NO STF","VOCÊ FOI BARRADO NO STF. VOLTE PARA SUA CASA INICIAL E REPENSE SUAS AÇÕES!"
"DEMISSÃO DE ASSESSOR","SEU ASSESSOR FOI DEMITIDO E VOCÊ PRECISA VOLTAR À BASE. RETORNE PARA A CASA INICIAL!"
"NOTÍCIA BOMBA","SAIU UMA NOTÍCIA BOMBA CONTRA VOCÊ. VOLTE PARA SUA CASA INICIAL PARA EVITAR O PIOR!"
"XANDÃO MANDOU TE CHAMAR","O XANDÃO TE CHAMOU DE VOLTA. RETORNE IMEDIATAMENTE À CASA INICIAL DELE!"
"XANDÃO TE CONVOCOU","VOCÊ FOI CONVOCADO A SE EXPLICAR DIRETAMENTE AO XANDÃO. VÁ PARA A CASA INICIAL DELE!"
"CAFÉ COM XANDÃO","VOCÊ FOI CHAMADO PARA UM CAFÉ COM O XANDÃO. VÁ PARA A CASA INICIAL DELE!"
"CASO ABANDONADO","VOCÊ CONSEGUIU UM RECURSO QUE ANULOU SEU PROCESSO... POR ENQUANTO! VOLTE PARA ONDE ESTAVA ANTES DO SUSTO."
"ALVO DO STF","VOCÊ CAIU NO RADAR DO XANDÃO! VÁ DIRETO PARA A CASA INICIAL DELE E EXPLIQUE SUAS ÚLTIMAS DECLARAÇÕES."
"DESVIO DE FOCO","VOCÊ CONSEGUIU DESVIAR O FOCO PARA O DEPUTADO À SUA ESQUERDA. VÁ PARA A CASA INICIAL DELE!"
"ALIADO NA MÍDIA","UM ALIADO FOI À MÍDIA TE DEFENDER. MOVA-SE PARA A CASA INICIAL DO DEPUTADO À SUA DIREITA E SE ABRACE NA ESTRATÉGIA!"
"NOTÍCIA ESCANDALOSA","UMA NOTÍCIA EXCLUSIVA ACERTOU SEU COLEGA. VÁ PARA A CASA INICIAL DO DEPUTADO À SUA ESQUERDA PARA NÃO SER O PRÓXIMO ALVO!"
"TROCA DE ACUSAÇÕES","VOCÊ TROCOU ACUSAÇÕES COM O DEPUTADO A SUA DIREITA. MOVA-SE PARA A CASA INICIAL DELE E VEJA QUEM FICA COM A CULPA!"
"EVASIVA RÁPIDA","XANDÃO FOCOU NO DEPUTADO MAIS PRÓXIMO DELE, MAS VOCÊ QUASE FOI JUNTO! MOVA-SE PARA UMA CASA ADJACENTE AO DEPUTADO MAIS PRÓXIMO DO STF."
"QUASE PEGARAM VOCÊ!","A POLÍCIA FOI ATRÁS DO DEPUTADO MAIS PERTO DO XANDÃO, MAS VOCÊ ESCAPOU POR UM TRIZ. MOVA-SE PARA UMA CASA ADJACENTE A ELE!"
"FOGO AMIGO","VOCÊ FOI DENUNCIADO POR UM COLEGA 'SEM QUERER'. TROQUE DE LUGAR COM O DEPUTADO MAIS PRÓXIMO DO XANDÃO E ASSUMA SUA NOVA POSIÇÃO DE RISCO!"
"SOBROU PRA VOCÊ","A INVESTIGAÇÃO ESTAVA QUENTE DEMAIS E SEU COLEGA TE ENTREGOU. TROQUE DE LUGAR COM O DEPUTADO MAIS PRÓXIMO DO STF!"
"CPI ATRAPALHADA","VOCÊ FOI MAL NUMA CPI! A PRÓXIMA CASA VERDE NÃO TRARÁ BOAS NOTÍCIAS... IGNORE O SEU EFEITO!"
"ERRO NA ARTICULAÇÃO","SEU ACORDO POLÍTICO FALHOU! IGNORE O EFEITO DA PRÓXIMA CASA VERDE E PENSE MELHOR NA SUA ESTRATÉGIA."
"TRAPALHADA LEGISLATIVA","VOCÊ TROPEÇOU NUMA PAUTA MAL REDIGIDA. MOVA-SE PARA UMA CASA VERMELHA ADJACENTE, SE ELA EXISTIR!"
"DENÚNCIA SURPRESA","UMA DENÚNCIA BATENDO À PORTA TE FEZ MUDAR DE CAMINHO! MOVA-SE PARA UMA CASA VERMELHA ADJACENTE E EVITE O PIOR."
"LEI VETADA","O SEU PROJETO FOI VETADO PELO STF. A PRÓXIMA CASA VERDE NÃO TERÁ EFEITO ALGUM!"
"INVESTIGAÇÃO RELÂMPAGO","UMA NOVA INVESTIGAÇÃO SURGIU DO NADA! MOVA-SE PARA UMA CASA VERMELHA ADJACENTE ANTES QUE TE ENCONTREM."
